subject_id,all_instance_tp_et,all_instance_fp_et,all_instance_fn_et,all_instance_prec_et,all_instance_rec_et,all_instance_f1_et,global_dsc_et,global_nsd_et,global_hd95_et,lesionwise_dsc_mean_et,lesionwise_dsc_std_et,lesionwise_nsd_mean_et,lesionwise_nsd_std_et,lesionwise_hd95_mean_et,lesionwise_hd95_std_et,all_instance_tp_rc,all_instance_fp_rc,all_instance_fn_rc,all_instance_prec_rc,all_instance_rec_rc,all_instance_f1_rc,global_dsc_rc,global_nsd_rc,global_hd95_rc,lesionwise_dsc_mean_rc,lesionwise_dsc_std_rc,lesionwise_nsd_mean_rc,lesionwise_nsd_std_rc,lesionwise_hd95_mean_rc,lesionwise_hd95_std_rc,all_instance_tp_tc,all_instance_fp_tc,all_instance_fn_tc,all_instance_prec_tc,all_instance_rec_tc,all_instance_f1_tc,global_dsc_tc,global_nsd_tc,global_hd95_tc,lesionwise_dsc_mean_tc,lesionwise_dsc_std_tc,lesionwise_nsd_mean_tc,lesionwise_nsd_std_tc,lesionwise_hd95_mean_tc,lesionwise_hd95_std_tc,all_instance_tp_wt,all_instance_fp_wt,all_instance_fn_wt,all_instance_prec_wt,all_instance_rec_wt,all_instance_f1_wt,global_dsc_wt,global_nsd_wt,global_hd95_wt,lesionwise_dsc_mean_wt,lesionwise_dsc_std_wt,lesionwise_nsd_mean_wt,lesionwise_nsd_std_wt,lesionwise_hd95_mean_wt,lesionwise_hd95_std_wt
BraTS-MET-00132-000-seg.nii.gz,6.0,1.0,2.0,0.8571428571428571,0.75,0.8,0.6840802390098165,0.32470764194847074,33.52610922848042,0.7735988324659234,0.05146092409268618,0.8605908094646745,0.15545837198420034,2.0748032315081146,1.0356253343863966,0.0,0.0,0.0,,,,,,,,,,,,,6.0,1.0,2.0,0.8571428571428571,0.75,0.8,0.6887811516543336,0.32665376547404495,33.54101966249684,0.7760722559031268,0.05312093288966872,0.8659791409399625,0.1529400344325881,2.0191614756044163,0.9833523706185455,6.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7564775269473256,0.2775753581218645,31.843366656181317,0.691078118501733,0.16365311507983996,0.7752028883394065,0.142017614205568,2.6587818655763527,1.2144438812264833
BraTS-MET-00217-000-seg.nii.gz,27.0,7.0,7.0,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.7913234934355378,0.47352755150197556,2.8284271247461903,0.6708638851808462,0.2148547010941531,0.8870079998931608,0.10006920755383641,1.6558450102923914,0.6975295967739085,0.0,0.0,0.0,,,,,,,,,,,,,27.0,7.0,7.0,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.896434730979106,0.4511123707893738,2.23606797749979,0.6833786429951106,0.22555550097974428,0.8945276241009898,0.10330295363958901,1.5258231629016354,0.6178312014782934,14.0,9.0,7.0,0.6086956521739131,0.6666666666666666,0.6363636363636364,0.8260158633312996,0.242283197832119,5.0,0.6040373568597691,0.23187113283274285,0.7114247944308623,0.17842143566307697,5.534750590625948,7.499493947018291
BraTS-MET-00630-001-seg.nii.gz,12.0,0.0,0.0,1.0,1.0,1.0,0.9147945524385985,0.6672650104726509,1.0,0.8668535333519382,0.0737509855271548,0.9544629386302842,0.06336083841278085,0.8735004058017974,0.32586999622556756,0.0,0.0,0.0,,,,,,,,,,,,,12.0,0.0,0.0,1.0,1.0,1.0,0.9266599484940097,0.6677642936058555,1.0,0.8788726986237659,0.07581978672437396,0.9590089626517648,0.0646069525133313,0.843835812062025,0.3091730518637266,11.0,0.0,0.0,1.0,1.0,1.0,0.9275450621985275,0.6142012647654954,1.4142135623730951,0.8409960686681519,0.07961923299329363,0.9167050347539045,0.07608105081257308,1.2111588507570894,0.39226166581565036
BraTS-MET-01325-000-seg.nii.gz,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.9721611721611721,0.7633228476326643,1.0,0.9731333333333333,0.0,0.9538381702597558,0.0,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.9751643535427319,0.7860665654133312,1.0,0.9761366657803776,0.0,0.9832597719756793,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9854805103820593,0.6970991135686064,1.0,0.9931142666044336,0.0,0.988282661792901,0.0,0.5,0.0
mean,11.5,2.0,2.5,0.9128151260504201,0.7610294117647058,0.8151960784313725,0.8405898642612812,0.5572057628889404,9.588634088306653,0.8211123960830102,0.08501665267849852,0.9139749795619688,0.07972210448770439,1.276037161900576,0.5147562318464682,0.0,0.0,0.0,,,,,,,,,,,,,11.5,2.0,2.5,0.9128151260504201,0.7610294117647058,0.8151960784313725,0.8717600461675453,0.5578992488206513,9.44427190999916,0.8286150658255953,0.08862405514844673,0.9256938749170991,0.0802124851463771,1.2222051126420193,0.4775891559901414,8.0,2.5,2.0,0.8664596273291926,0.8809523809523809,0.8733766233766234,0.873879740714803,0.4577897335720213,9.814395054638602,0.7823064526585218,0.11878587022646911,0.8479038448292686,0.0991300251703045,2.4761728267398473,2.276549873515106
std,11.269427669584644,3.366501646120693,3.1091263510296048,0.10390844934441856,0.20531258695503402,0.13770584186970508,0.12876306781666133,0.19634553717338454,15.981576739924156,0.12914432592650524,0.09190330466733661,0.047628550301825175,0.0652515435041131,0.7179950678376381,0.4492077148118522,0.0,0.0,0.0,,,,,,,,,,,,,11.269427669584644,3.366501646120693,3.1091263510296048,0.10390844934441856,0.20531258695503402,0.13770584186970508,0.12622277391847625,0.20737129608075117,16.075062595627255,0.12667914521714374,0.09665896231666252,0.05465318599685457,0.06454982980233975,0.6811918274263544,0.421077841830721,5.715476066494082,4.358898943540674,3.366501646120693,0.18456717960377172,0.15793451382644763,0.17176112306918376,0.10232127357163319,0.23141149100692254,14.795388908327052,0.17125700464306035,0.1007396888306308,0.12695376620295856,0.07849520193489444,2.228135498526362,3.518543037019457
median,9.0,0.5,1.5,0.9285714285714286,0.7720588235294117,0.7970588235294118,0.8530590229370681,0.5703962809873132,1.9142135623730951,0.8202261829089308,0.06260595480992048,0.9204230850764583,0.08171502298330863,1.2646727080470943,0.5116997964997381,0.0,0.0,0.0,,,,,,,,,,,,,9.0,0.5,1.5,0.9285714285714286,0.7720588235294117,0.7970588235294118,0.9115473397365579,0.5594383321976146,1.618033988749895,0.8274724772634463,0.06447035980702134,0.9267682933763773,0.08395495307646016,1.1848294874818301,0.46350212667101,8.5,0.5,0.5,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8767804627649136,0.44588831144367996,3.2071067811865475,0.7660370935849424,0.12163617403656679,0.8459539615466556,0.10904933250907053,1.934970358166721,0.8033527735210668
